Component,Origin,License
core,k8s.io/apimachinery/pkg/util/wait,Apache-2.0
core,k8s.io/apimachinery/pkg/util/yaml,Apache-2.0
core,k8s.io/apimachinery/pkg/version,Apache-2.0
core,k8s.io/apimachinery/pkg/watch,Apache-2.0
core,k8s.io/apimachinery/third_party/forked/golang/json,Apache-2.0
core,k8s.io/apimachinery/third_party/forked/golang/reflect,Apache-2.0
core,k8s.io/client-go/discovery,Apache-2.0
core,k8s.io/client-go/discovery/cached,Apache-2.0
core,k8s.io/client-go/discovery/cached/memory,Apache-2.0
core,k8s.io/client-go/discovery/fake,Apache-2.0
core,k8s.io/client-go/dynamic,Apache-2.0
core,k8s.io/client-go/kubernetes,Apache-2.0
core,k8s.io/client-go/kubernetes/scheme,Apache-2.0
core,k8s.io/client-go/kubernetes/typed/admissionregistration/v1beta1,Apache-2.0
core,k8s.io/client-go/kubernetes/typed/apps/v1,Apache-2.0
core,k8s.io/client-go/kubernetes/typed/apps/v1beta1,Apache-2.0
core,k8s.io/client-go/kubernetes/typed/apps/v1beta2,Apache-2.0
core,k8s.io/client-go/kubernetes/typed/auditregistration/v1alpha1,Apache-2.0
core,k8s.io/client-go/kubernetes/typed/authentication/v1,Apache-2.0
core,k8s.io/client-go/kubernetes/typed/authentication/v1beta1,Apache-2.0
core,k8s.io/client-go/kubernetes/typed/authorization/v1,Apache-2.0
core,k8s.io/client-go/kubernetes/typed/authorization/v1beta1,Apache-2.0
core,k8s.io/client-go/kubernetes/typed/autoscaling/v1,Apache-2.0
core,k8s.io/client-go/kubernetes/typed/autoscaling/v2beta1,Apache-2.0
core,k8s.io/client-go/kubernetes/typed/autoscaling/v2beta2,Apache-2.0
core,k8s.io/client-go/kubernetes/typed/batch/v1,Apache-2.0
core,k8s.io/client-go/kubernetes/typed/batch/v1beta1,Apache-2.0
core,k8s.io/client-go/kubernetes/typed/batch/v2alpha1,Apache-2.0
core,k8s.io/client-go/kubernetes/typed/certificates/v1beta1,Apache-2.0
core,k8s.io/client-go/kubernetes/typed/coordination/v1,Apache-2.0
core,k8s.io/client-go/kubernetes/typed/coordination/v1beta1,Apache-2.0
core,k8s.io/client-go/kubernetes/typed/core/v1,Apache-2.0
core,k8s.io/client-go/kubernetes/typed/events/v1beta1,Apache-2.0
core,k8s.io/client-go/kubernetes/typed/extensions/v1beta1,Apache-2.0
core,k8s.io/client-go/kubernetes/typed/networking/v1,Apache-2.0
core,k8s.io/client-go/kubernetes/typed/networking/v1beta1,Apache-2.0
core,k8s.io/client-go/kubernetes/typed/node/v1alpha1,Apache-2.0
core,k8s.io/client-go/kubernetes/typed/node/v1beta1,Apache-2.0
core,k8s.io/client-go/kubernetes/typed/policy/v1beta1,Apache-2.0
core,k8s.io/client-go/kubernetes/typed/rbac/v1,Apache-2.0
core,k8s.io/client-go/kubernetes/typed/rbac/v1alpha1,Apache-2.0
core,k8s.io/client-go/kubernetes/typed/rbac/v1beta1,Apache-2.0
core,k8s.io/client-go/kubernetes/typed/scheduling/v1,Apache-2.0
core,k8s.io/client-go/kubernetes/typed/scheduling/v1alpha1,Apache-2.0
core,k8s.io/client-go/kubernetes/typed/scheduling/v1beta1,Apache-2.0
core,k8s.io/client-go/kubernetes/typed/settings/v1alpha1,Apache-2.0
core,k8s.io/client-go/kubernetes/typed/storage/v1,Apache-2.0
core,k8s.io/client-go/kubernetes/typed/storage/v1alpha1,Apache-2.0
core,k8s.io/client-go/kubernetes/typed/storage/v1beta1,Apache-2.0
core,k8s.io/client-go/pkg/apis/clientauthentication,Apache-2.0
core,k8s.io/client-go/pkg/apis/clientauthentication/v1alpha1,Apache-2.0
core,k8s.io/client-go/pkg/apis/clientauthentication/v1beta1,Apache-2.0
core,k8s.io/client-go/pkg/version,Apache-2.0
core,k8s.io/client-go/plugin/pkg/client/auth,Apache-2.0
core,k8s.io/client-go/plugin/pkg/client/auth/azure,Apache-2.0
core,k8s.io/client-go/plugin/pkg/client/auth/exec,Apache-2.0
core,k8s.io/client-go/plugin/pkg/client/auth/gcp,Apache-2.0
core,k8s.io/client-go/plugin/pkg/client/auth/oidc,Apache-2.0
core,k8s.io/client-go/plugin/pkg/client/auth/openstack,Apache-2.0
core,k8s.io/client-go/rest,Apache-2.0
core,k8s.io/client-go/rest/watch,Apache-2.0
core,k8s.io/client-go/restmapper,Apache-2.0
core,k8s.io/client-go/scale,Apache-2.0
core,k8s.io/client-go/scale/fake,Apache-2.0
core,k8s.io/client-go/scale/scheme,Apache-2.0
core,k8s.io/client-go/scale/scheme/appsint,Apache-2.0
core,k8s.io/client-go/scale/scheme/appsv1beta1,Apache-2.0
core,k8s.io/client-go/scale/scheme/appsv1beta2,Apache-2.0
core,k8s.io/client-go/scale/scheme/autoscalingv1,Apache-2.0
core,k8s.io/client-go/scale/scheme/extensionsint,Apache-2.0
core,k8s.io/client-go/scale/scheme/extensionsv1beta1,Apache-2.0
core,k8s.io/client-go/testing,Apache-2.0
core,k8s.io/client-go/third_party/forked/golang/template,Apache-2.0
core,k8s.io/client-go/tools/auth,Apache-2.0
core,k8s.io/client-go/tools/cache,Apache-2.0
core,k8s.io/client-go/tools/clientcmd,Apache-2.0
core,k8s.io/client-go/tools/clientcmd/api,Apache-2.0
